incident_id,company_name,company_revenue_usd,country_hq,industry_primary,industry_secondary,employee_count,is_public_company,stock_ticker,incident_date,incident_date_estimated,discovery_date,disclosure_date,attack_vector_primary,attack_vector_secondary,attack_chain,attributed_group,attribution_confidence,data_compromised_records,data_type,systems_affected,downtime_hours,data_source_primary,data_source_secondary,data_source_type,confidence_tier,quality_score,quality_grade,review_flag,notes,created_at,updated_at
2021-0508-001,Quantum Asset Assurance Group Inc.,1343769307.79,US,52,54,3940,True,QAA,2021-05-08,False,2021-05-12,2021-06-20,ransomware,,Phishing Email with Weaponized Attachment → Credential Theft via Mimikatz → Lateral Movement via RDP/SMB → Active Directory Compromise → Ransomware Deployment Across Domain-Joined Hosts,NoName057,suspected,26888.0,mixed,"payment_systems,HR_systems",16.52,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001492738&type=8-K&dateb=20211220&owner=include&count=10,https://www.quantum-asset-assurance-g.com/newsroom/2021/05/security-update,sec_filing,1,97.89,Gold,,Multiple Subsidiaries Affected Across 6 Jurisdictions,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-1211-001,Quantum Apex Ventures Ltd.,63670593.18,GB,51,,250,False,nan,2025-12-11,False,2026-02-13,2026-02-16,phishing,,Not Available,FIN11,probable,41426.0,mixed,"file_servers,backup_systems,HR_systems,ERP",53.6,https://www.theregister.com/2025/06/14/quantum-apex-venture_security_incident/,https://blog.talosintelligence.com/2025/09/quantum-apex-venture-campaign.html,verified_media,3,86.74,Gold,,N/A,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2023-0115-001,BitWire Innovations Corp.,24806189094.88,US,51,,71369,True,BITW,2023-01-15,False,2023-07-18,2023-09-03,trojan,ddos,Drive-By Download from Compromised Ad Network → Remote Access Trojan Deployment → Keylogger Activation → Credential Theft → Lateral Movement to File Servers,Unknown,,56133.0,,HR_systems,53.6,https://therecord.media/2023/12/10/bitwire-innovations-corp-breached,https://blog.talosintelligence.com/2023/08/bitwire-innovations--campaign.html,verified_media,4,83.74,Silver,,N/A,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0315-001,Sterling Forge Markets Holdings Inc.,139825903.53,US,44-45,,912,True,SFM,2021-03-15,False,2021-04-03,2021-07-03,phishing,,Spear-Phishing Campaign Targeting Finance Team → Credential Harvesting Through Cloned SSO Portal → Email Account Compromise → BEC Wire Transfer or Data Exfiltration,Unknown,,1107796.0,mixed,"HR_systems,CRM,VPN",53.6,https://www.sterling-forge-markets-ho.com/newsroom/2021/10/security-update,https://www.mandiant.com/resources/blog/sterling-forge-marke-incident-response-2021,company_pr,2,94.51,Gold,,N/A,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-1204-001,Sierra Quantum Innovations Group Inc.,691697737.03,US,51,,1662,True,SQI,2021-12-04,False,2021-12-11,2022-01-20,data_breach,,Not Available,Unknown,,621233.0,mixed,"SCADA,VPN",53.6,https://www.sierra-quantum-innovation.com/newsroom/2021/10/security-update,,company_pr,2,79.82,Silver,,N/A,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0617-001,Novak Systems Group Inc.,23049204977.6,US,31-33,,69223,False,nan,2025-06-17,False,2025-09-16,2025-10-26,data_breach,,Misconfigured Cloud Storage Bucket Discovered by Automated Scanner → Bulk Data Download over 72 Hours → Data Posted to Dark Web Marketplace,Cl0p,confirmed,207262.0,PII,"cloud_infrastructure,file_servers,HR_systems,CRM",53.6,https://www.crowdstrike.com/blog/novak-systems-group--intrusion-analysis-2025/,,cybersecurity_firm,3,82.42,Silver,,N/A,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0821-001,Beacon Lumen Industries Holdings Inc.,271568021.35,US,31-33,,2121,True,BLI,2025-08-21,False,2025-08-23,2025-10-01,apt,supply_chain,Zero-Day Exploit in Edge Device → Fileless Implant in Memory → Scheduled Task Persistence → Low-And-Slow Data Staging → Encrypted Exfiltration over DNS Tunneling,FIN11,probable,58001.0,health,"file_servers,VPN",129.37,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001693169&type=8-K&dateb=20250304&owner=include&count=10,,sec_filing,1,90.37,Gold,,N/A,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2024-0603-001,Anderson Securities Inc.,4681402229.24,US,52,,16493,False,nan,2024-06-03,False,2024-06-17,2024-06-27,ddos,,Multi-Vector Botnet Activation → Volumetric UDP Reflection (900 Gbps Peak) → Application-Layer HTTP/2 Flood → 18-Hour Service Degradation,Unknown,,56133.0,,file_servers,15.91,https://unit42.paloaltonetworks.com/threat-brief-anderson-securities--2024/,https://www.anderson-securities-inc.com/newsroom/2024/08/security-update,cybersecurity_firm,3,95.53,Gold,,N/A,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2021-0213-001,Stuttgart Distribution SE,733412842.38,DE,44-45,,8169,True,STUT.DE,2021-02-13,True,2021-02-14,2021-04-05,data_breach,,Misconfigured Cloud Storage Bucket Discovered by Automated Scanner → Bulk Data Download over 72 Hours → Data Posted to Dark Web Marketplace,Unknown,,321215.0,credentials,payment_systems,53.6,https://www.crowdstrike.com/blog/stuttgart-distributi-intrusion-analysis-2021/,https://www.bleepingcomputer.com/news/security/stuttgart-distribution-se-hit-by-cyberattack-2021/,cybersecurity_firm,3,71.71,Silver,,Multiple Subsidiaries Affected Across 8 Jurisdictions,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
2025-0529-001,BazaarBrand Stores Co.,39914029678.95,US,44-45,,776266,True,BAZA,2025-05-29,True,2025-06-05,2025-06-25,ransomware,,Not Available,Killnet,suspected,30907.0,financial,"email,cloud_infrastructure,ERP,file_servers",91.85,https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001180222&type=8-K&dateb=20250111&owner=include&count=10,,sec_filing,1,82.4,Silver,,N/A,2026-02-12T10:00:00Z,2026-02-12T10:00:00Z
